agency_cd	site_no	parameter_cd	ts_id	month_nu	day_nu	begin_yr	end_yr	count_nu	max_va_yr	max_va	min_va_yr	min_va	mean_va	p05_va	p10_va	p20_va	p25_va	p50_va	p75_va	p80_va	p90_va	p95_va
USGS	14105700	00060	113459	1	1	1948	1949	2	1948	101000	1949	89500	95300					95300				
USGS	14105700	00060	113459	1	2	1948	1948	1	1948	99500	1948	99500	99500					99500				
USGS	14105700	00060	113459	1	3	1948	1948	1	1948	99000	1948	99000	99000					99000				
USGS	14105700	00060	113459	1	4	1948	1948	1	1948	98000	1948	98000	98000					98000				
USGS	14105700	00060	113459	1	5	1948	1948	1	1948	104000	1948	104000	104000					104000				
USGS	14105700	00060	113459	1	6	1948	1948	1	1948	106000	1948	106000	106000					106000				
USGS	14105700	00060	113459	1	7	1948	1948	1	1948	123000	1948	123000	123000					123000				
USGS	14105700	00060	113459	1	8	1948	1948	1	1948	141000	1948	141000	141000					141000				
USGS	14105700	00060	113459	1	9	1948	1948	1	1948	190000	1948	190000	190000					190000				
USGS	14105700	00060	113459	1	10	1948	1948	1	1948	193000	1948	193000	193000					193000				
USGS	14105700	00060	113459	1	11	1948	1948	1	1948	170000	1948	170000	170000					170000				
USGS	14105700	00060	113459	1	12	1948	1948	1	1948	158000	1948	158000	158000					158000				
USGS	14105700	00060	113459	1	13	1948	1948	1	1948	149000	1948	149000	149000					149000				
USGS	14105700	00060	113459	1	14	1948	1948	1	1948	141000	1948	141000	141000					141000				
USGS	14105700	00060	113459	1	15	1948	1948	1	1948	135000	1948	135000	135000					135000				
USGS	14105700	00060	113459	1	16	1948	1948	1	1948	123000	1948	123000	123000					123000				
USGS	14105700	00060	113459	1	17	1948	1948	1	1948	111000	1948	111000	111000					111000				
USGS	14105700	00060	113459	1	18	1948	1948	1	1948	108000	1948	108000	108000					108000				
USGS	14105700	00060	113459	1	19	1948	1948	1	1948	111000	1948	111000	111000					111000				
USGS	14105700	00060	113459	1	20	1948	1948	1	1948	112000	1948	112000	112000					112000				
USGS	14105700	00060	113459	1	21	1948	1948	1	1948	111000	1948	111000	111000					111000				
USGS	14105700	00060	113459	1	22	1948	1948	1	1948	110000	1948	110000	110000					110000				
USGS	14105700	00060	113459	1	23	1948	1948	1	1948	112000	1948	112000	112000					112000				
USGS	14105700	00060	113459	1	24	1948	1948	1	1948	110000	1948	110000	110000					110000				
USGS	14105700	00060	113459	1	25	1948	1948	1	1948	110000	1948	110000	110000					110000				
USGS	14105700	00060	113459	1	26	1948	1948	1	1948	116000	1948	116000	116000					116000				
USGS	14105700	00060	113459	1	27	1948	1948	1	1948	117000	1948	117000	117000					117000				
USGS	14105700	00060	113459	1	28	1948	1948	1	1948	112000	1948	112000	112000					112000				
USGS	14105700	00060	113459	1	29	1948	1948	1	1948	107000	1948	107000	107000					107000				
USGS	14105700	00060	113459	1	30	1948	1948	1	1948	103000	1948	103000	103000					103000				
USGS	14105700	00060	113459	1	31	1948	1948	1	1948	99700	1948	99700	99700					99700				
