
agency_cd	site_no	peak_dt	peak_tm	peak_va	peak_cd	gage_ht	gage_ht_cd	year_last_pk	ag_dt	ag_tm	ag_gage_ht	ag_gage_ht_cd
USGS	03270500	1893-05-02		58000		15.80	3					
USGS	03270500	1894-02-19		13000		6.40	3					
USGS	03270500	1895-01-22		10000		5.60	3					
USGS	03270500	1896-07-25		22000		8.90	3					
USGS	03270500	1897-03-06		61000		16.30	3					
USGS	03270500	1898-03-23		92000		20.20	3					
USGS	03270500	1899-01-15		29000		10.50	3					
USGS	03270500	1900-03-07		21000		8.60	3					
USGS	03270500	1901-03-11		15000		7.00	3					
USGS	03270500	1902-07-01		13000		6.30	3					
USGS	03270500	1903-03-01		35000		11.30	3					
USGS	03270500	1904-03-27		52000		14.80	3					
USGS	03270500	1905-05-12		31000		11.00	3					
USGS	03270500	1906-03-28		42000		13.20	3					
USGS	03270500	1907-03-14		54000		15.20	3					
USGS	03270500	1908-02-15		60000		16.10	3					
USGS	03270500	1909-02-24		46000		13.80	3					
USGS	03270500	1910-02-28		57000		15.70	3					
USGS	03270500	1910-10-07		60000		16.10	3					
USGS	03270500	1912-02-27		50000		14.50	3					
USGS	03270500	1913-03-25		250000		29.00	3	1773				
USGS	03270500	1914-04-08		22800		9.00	3					
USGS	03270500	1915-07-09		26900		11.00	3					
USGS	03270500	1916-01-31		48200		14.80	3					
USGS	03270500	1917-03-14		29800		10.90	3					
USGS	03270500	1918-02-13		32800		11.50	3					
USGS	03270500	1919-03-17		35900		13.40	3					
USGS	03270500	1920-04-21		59800		16.00	3					
USGS	03270500	1921-03-29		42400		11.50	3,6					
USGS	03270500	1922-04-15		39000	6	12.30	3					
USGS	03270500	1923-05-16		16400	6	7.80	3					
USGS	03270500	1924-06-09		47700	6	13.40	3					
USGS	03270500	1925-04-22		15700	6	7.90	3					
USGS	03270500	1926-04-09		22700	6	9.40	3					
USGS	03270500	1927-03-22		43700	6	12.80	3					
USGS	03270500	1927-12-01		24400	6	9.70	3					
USGS	03270500	1929-02-27		53000	6	14.40	3					
USGS	03270500	1930-01-09		38900	6	12.20	3					
USGS	03270500	1931-04-04		9100	6	6.00	3,6					
USGS	03270500	1932-01-18		20700	6	29.10						
USGS	03270500	1933-05-14		47200	6	34.00						
USGS	03270500	1934-03-03		10700	6	28.13	1					
USGS	03270500	1935-05-04		17800	6	28.51						
USGS	03270500	1936-02-27		27100	6	30.42						
USGS	03270500	1937-01-22		48400	6	34.25						
USGS	03270500	1938-04-09		29100	6	30.78						
USGS	03270500	1939-04-16		25100	6	30.00						
USGS	03270500	1940-04-21		25600	6	30.12						
USGS	03270500	1941-06-16		4800	6	24.49						
USGS	03270500	1942-04-11		19300	6	28.80						
USGS	03270500	1943-03-20		35700	6	32.00						
USGS	03270500	1944-04-12		29600	6	30.86						
USGS	03270500	1945-03-07		28600	6	30.66						
USGS	03270500	1946-02-14		16800	6	28.30						
USGS	03270500	1947-06-03		36800	6	32.24						
USGS	03270500	1948-02-14		31300	6	31.22						
USGS	03270500	1949-01-06		31500	6	31.41						
USGS	03270500	1950-01-17		36000	6	32.22						
USGS	03270500	1951-02-22		34800	6	32.00						
USGS	03270500	1952-01-27		46600	6	33.90						
USGS	03270500	1953-05-23		18100	6	28.54						
USGS	03270500	1954-03-30		11000	6	26.62						
USGS	03270500	1955-03-22		17200	6	28.21						
USGS	03270500	1955-11-17		23000	6	29.70						
USGS	03270500	1957-04-05		33200	6	31.70						
USGS	03270500	1958-06-14		40800	6	32.97						
USGS	03270500	1959-01-22		60900	6	35.45						
USGS	03270500	1960-02-11		12700	6	27.05						
USGS	03270500	1961-04-26		25900	6	30.28						
USGS	03270500	1962-02-27		23400	6	29.77						
USGS	03270500	1963-03-06		47500	6	33.74						
USGS	03270500	1964-04-22		35100	6	31.81						
USGS	03270500	1965-04-26		21400	6	29.33						
USGS	03270500	1966-02-11		16100	6	28.12						
USGS	03270500	1966-12-11		21000	6	29.25						
USGS	03270500	1968-05-24		24400	6	29.99						
USGS	03270500	1969-01-30		24400	6	29.99						
USGS	03270500	1970-04-03		27400	6	30.53						
USGS	03270500	1971-02-23		22200	6	29.52						
USGS	03270500	1972-04-08		19000	6	28.81						
USGS	03270500	1972-11-14		23100	6	29.72						
USGS	03270500	1974-01-20		23100	6	29.71						
USGS	03270500	1975-02-24		38800	6	32.47						
USGS	03270500	1976-02-18		19200	6	28.87						
USGS	03270500	1977-04-03		18600	6	28.53						
USGS	03270500	1978-03-14		26100	6	31.38						
USGS	03270500	1979-02-24		25700	6	31.10						
USGS	03270500	1980-06-03		30000	2,6							
USGS	03270500	1981-06-15		22500	6	30.53						
USGS	03270500	1982-01-31		26000	6	31.08						
USGS	03270500	1983-05-03		20600	6	30.23						
USGS	03270500	1984-03-21		17000	6	29.72						
USGS	03270500	1985-02-24		24900	6	30.99						
USGS	03270500	1985-12-12		21800	6	30.51						
USGS	03270500	1986-10-05		29400	6	31.64						
USGS	03270500	1988-02-02		12800	6	28.96						
USGS	03270500	1989-05-27		29900	6	31.50						
USGS	03270500	1990-02-16		26000	6	30.95						
USGS	03270500	1990-12-31		43800	6	33.15						
USGS	03270500	1992-07-18		23500	6	30.57						
USGS	03270500	1993-07-03		24300	6	30.69						
USGS	03270500	1994-01-29		26100	6	30.96						
USGS	03270500	1995-08-09		35500	6	32.25						
USGS	03270500	1996-04-30		30600	6	31.60						
USGS	03270500	1997-06-02		32000	6	31.79						
USGS	03270500	1998-01-08		21100	6	30.20						
USGS	03270500	1999-01-23		26900	6	31.07						
USGS	03270500	2000-04-08		23800	6	30.86						
USGS	03270500	2001-05-19		19800	6	30.06						
USGS	03270500	2001-12-18		26700	6	31.49						
USGS	03270500	2003-07-10		36500	6	32.71						
USGS	03270500	2004-01-05		35600	6	32.58						
USGS	03270500	2005-01-07		45800	6	34.33						
USGS	03270500	2006-03-13		20900	6	30.61						
USGS	03270500	2007-03-24		36200	6	33.01						
USGS	03270500	2008-03-20		33100	6	32.56						
USGS	03270500	2009-02-12		19500	6	30.28						
USGS	03270500	2010-03-14		24900	6	31.24						
USGS	03270500	2011-03-06		34500	6	32.52						
USGS	03270500	2011-12-06		33400	6	32.07						
USGS	03270500	2013-01-14		21500	6	30.35						
USGS	03270500	2013-12-23		43800	6	35.21						
USGS	03270500	2015-06-21		24000	6	32.99						
USGS	03270500	2015-12-29		31400	6	34.48						
USGS	03270500	2017-05-06		20800	6	30.88						
USGS	03270500	2018-04-04	21:15	43200		33.28						
USGS	03270500	2019-02-08	16:00	37100		32.76						
USGS	03270500	2020-03-20	06:15	28400	6	31.89						
