agency_cd	site_no	peak_dt	peak_tm	peak_va	peak_cd	gage_ht	gage_ht_cd	year_last_pk	ag_dt	ag_tm	ag_gage_ht	ag_gage_ht_cd
USGS	01638500	1889-06-02		460000	7	40.20	3					
USGS	01638500	1895-04-10		68500		10.70	3					
USGS	01638500	1896-07-26		56000		9.40	3					
USGS	01638500	1896-10-01		204000		27.20	3					
USGS	01638500	1898-08-12		127000		18.00	3					
USGS	01638500	1899-03-06		128000		18.10	3					
USGS	01638500	1900-03-21		57700		9.60	3					
USGS	01638500	1901-04-22		161000		22.00	3					
USGS	01638500	1902-03-02		219000		29.00	3					
USGS	01638500	1903-03-01		110000		16.60	6					
USGS	01638500	1904-06-01		44500		8.60						
USGS	01638500	1905-03-11		71400		11.90						
USGS	01638500	1906-03-29		81300		13.10						
USGS	01638500	1907-03-15		119000		17.60						
USGS	01638500	1908-01-13		152000		21.60						
USGS	01638500	1909-04-16		83000		13.30						
USGS	01638500	1910-06-18		168000		23.50						
USGS	01638500	1911-09-01		106000		16.10						
USGS	01638500	1912-02-28		95400		14.80						
USGS	01638500	1913-03-28		139000		20.00						
USGS	01638500	1914-03-19		73900		12.20						
USGS	01638500	1915-06-04		139000		20.00						
USGS	01638500	1916-03-29		124000		18.30						
USGS	01638500	1917-03-13		123000		18.10						
USGS	01638500	1918-04-16		127000		18.60						
USGS	01638500	1919-05-11		80500		13.00						
USGS	01638500	1920-03-06		109000		16.40						
USGS	01638500	1921-05-06		88800		14.00						
USGS	01638500	1922-03-17		78800		12.80						
USGS	01638500	1923-04-16		40700		8.80						
USGS	01638500	1924-05-13		277000		32.20						
USGS	01638500	1925-02-13		89000		15.00						
USGS	01638500	1926-02-27		60500		11.50						
USGS	01638500	1926-11-17		89900		15.10						
USGS	01638500	1928-05-02		145000		21.30						
USGS	01638500	1929-04-18		180000		24.94						
USGS	01638500	1929-10-23		110000		17.40						
USGS	01638500	1931-05-24		36800		8.16						
USGS	01638500	1932-05-14		158000		23.34						
USGS	01638500	1933-04-21		123000		19.30						
USGS	01638500	1934-01-09		36700		8.06						
USGS	01638500	1934-12-02		128000		19.78						
USGS	01638500	1936-03-19		480000		41.03						
USGS	01638500	1937-04-27		310000		33.86						
USGS	01638500	1937-10-30		175000		24.93						
USGS	01638500	1939-02-05		124000		19.39						
USGS	01638500	1940-04-21		93600		15.67						
USGS	01638500	1941-04-07		69000		12.56						
USGS	01638500	1942-05-24		125000		21.13						
USGS	01638500	1942-10-16		418000		40.43						
USGS	01638500	1944-05-08		70300		13.92						
USGS	01638500	1945-09-20		139000		21.98						
USGS	01638500	1946-06-03		53100		11.40						
USGS	01638500	1947-03-16		42100		9.65						
USGS	01638500	1948-04-15		87000		16.04						
USGS	01638500	1949-06-20		132000		21.20						
USGS	01638500	1950-02-03		64700		13.09						
USGS	01638500	1950-12-05		128000		20.75						
USGS	01638500	1952-04-29		127000		20.67						
USGS	01638500	1952-11-23		118000		19.68						
USGS	01638500	1954-03-03		109000		18.65						
USGS	01638500	1955-08-20		214000		29.08						
USGS	01638500	1956-04-09		60800		12.54						
USGS	01638500	1957-04-07		69200		13.74						
USGS	01638500	1958-05-07		72000		14.13						
USGS	01638500	1959-06-04		55700		11.80						
USGS	01638500	1960-05-10		124000		20.28						
USGS	01638500	1961-02-21		102000		17.90						
USGS	01638500	1962-03-23		116000		19.45						
USGS	01638500	1963-03-21		125000		20.47						
USGS	01638500	1964-03-06		87000		16.00						
USGS	01638500	1965-03-06		97800		17.35						
USGS	01638500	1966-02-15		71300		14.04						
USGS	01638500	1967-03-08		144000		22.53						
USGS	01638500	1968-03-18		76800		14.73						
USGS	01638500	1969-03-27		27800		7.15						
USGS	01638500	1970-04-03		92100		16.64						
USGS	01638500	1971-02-24		86400		15.92						
USGS	01638500	1972-06-23		347000		37.43						
USGS	01638500	1972-10-08		106000		18.28						
USGS	01638500	1973-12-28		132000		21.27						
USGS	01638500	1975-03-21		181000		26.15						
USGS	01638500	1976-01-02		109000		18.71						
USGS	01638500	1976-10-11		193000		27.25						
USGS	01638500	1978-03-16		139000		22.01						
USGS	01638500	1979-02-27		178000		25.94						
USGS	01638500	1979-10-11		69500		13.87						
USGS	01638500	1981-04-14		41900		9.81						
USGS	01638500	1982-06-15		92000		16.66						
USGS	01638500	1983-04-26		115000		19.21						
USGS	01638500	1984-02-16		199000		28.14						
USGS	01638500	1985-02-13		84700		15.57						
USGS	01638500	1985-11-07		309000		36.28						
USGS	01638500	1987-04-18		153000		23.49						
USGS	01638500	1988-05-20		96100		17.01						
USGS	01638500	1989-05-17		80900		15.11						
USGS	01638500	1990-05-31		39800		9.30						
USGS	01638500	1991-03-25		85000		15.63						
USGS	01638500	1992-04-23		90000		16.25						
USGS	01638500	1993-03-06		167000		24.94						
USGS	01638500	1993-11-29		115000		19.25						
USGS	01638500	1995-01-17		87200		15.90						
USGS	01638500	1996-01-21		310000		36.34						
USGS	01638500	1996-12-03		85200		15.65						
USGS	01638500	1998-03-22	16:00	123000		20.24						
USGS	01638500	1999-03-20	01:30	40600		9.42						
USGS	01638500	2000-02-20	19:30	61600		12.54						
USGS	01638500	2001-03-23	06:00	66600		13.23						
USGS	01638500	2002-04-24	03:45	52300		11.21						
USGS	01638500	2003-09-21	01:30	150000		23.12						
USGS	01638500	2003-12-12	15:15	118000		19.58						
USGS	01638500	2005-03-30	09:45	116000		19.37						
USGS	01638500	2005-12-01	11:00	73100		14.10						
USGS	01638500	2007-04-17	05:15	96000		17.00						
USGS	01638500	2008-05-13	14:30	96000		16.99						
USGS	01638500	2009-05-06	02:45	100000		17.50						
USGS	01638500	2010-03-15	03:15	172000		25.52						
USGS	01638500	2011-04-18	10:30	144000		22.52						
USGS	01638500	2011-12-09	11:00	74800		14.32						
USGS	01638500	2012-10-31	09:00	106000		18.19						
USGS	01638500	2014-05-17	16:45	145000		22.62						
USGS	01638500	2015-04-22	03:45	52300		11.21						
USGS	01638500	2016-02-05	00:15	88000		16.00						
USGS	01638500	2017-05-07	02:15	71300		13.86						
USGS	01638500	2018-06-04	20:30	175000		25.83						
USGS	01638500	2018-12-17	07:45	143000		22.40						
USGS	01638500	2020-05-02	02:15	78300		14.77						
USGS	01638500	2021-03-02	11:30	91100		16.39						
